 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 248  | Greninja           |  0.02004% | 319    |  0.065% | 138    |  0.060% | 
 | 249  | Pachirisu          |  0.01999% | 286    |  0.058% | 118    |  0.051% | 
 | 250  | Trevenant          |  0.01985% | 222    |  0.045% | 87     |  0.038% | 
 | 251  | Bisharp            |  0.01943% | 308    |  0.062% | 112    |  0.048% | 
 | 252  | Ambipom            |  0.01924% | 456    |  0.092% | 195    |  0.084% | 
 | 253  | Infernape          |  0.01911% | 298    |  0.060% | 152    |  0.066% | 
 | 254  | Dudunsparce        |  0.01884% | 327    |  0.066% | 120    |  0.052% | 
 | 255  | Heracross          |  0.01847% | 149    |  0.030% | 75     |  0.032% | 
 | 256  | Iron Thorns        |  0.01834% | 236    |  0.048% | 121    |  0.052% | 
 | 257  | Blissey            |  0.01823% | 176    |  0.036% | 64     |  0.028% | 
 | 258  | Wyrdeer            |  0.01809% | 194    |  0.039% | 88     |  0.038% | 
 | 259  | Florges            |  0.01791% | 252    |  0.051% | 120    |  0.052% | 
 | 260  | Dragalge           |  0.01770% | 261    |  0.053% | 128    |  0.055% | 
 | 261  | Cyclizar           |  0.01744% | 233    |  0.047% | 107    |  0.046% | 
 | 262  | Medicham           |  0.01730% | 506    |  0.103% | 177    |  0.077% | 
 | 263  | Slowbro-Galar      |  0.01692% | 320    |  0.065% | 114    |  0.049% | 
 | 264  | Tauros-Paldea-Blaze |  0.01661% | 241    |  0.049% | 105    |  0.045% | 
 | 265  | Slowbro            |  0.01656% | 360    |  0.073% | 185    |  0.080% | 
 | 266  | Rabsca             |  0.01648% | 306    |  0.062% | 162    |  0.070% | 
 | 267  | Inteleon           |  0.01561% | 265    |  0.054% | 103    |  0.045% | 
 | 268  | Vivillon           |  0.01513% | 138    |  0.028% | 65     |  0.028% | 
 | 269  | Electrode-Hisui    |  0.01511% | 157    |  0.032% | 50     |  0.022% | 
 | 270  | Stonjourner        |  0.01394% | 110    |  0.022% | 50     |  0.022% | 
 | 271  | Duraludon          |  0.01372% | 216    |  0.044% | 87     |  0.038% | 
 | 272  | Poliwrath          |  0.01340% | 115    |  0.023% | 61     |  0.026% | 
 | 273  | Toxtricity         |  0.01332% | 248    |  0.050% | 117    |  0.051% | 
 | 274  | Uxie               |  0.01320% | 135    |  0.027% | 29     |  0.013% | 
 | 275  | Volbeat            |  0.01302% | 120    |  0.024% | 43     |  0.019% | 
 | 276  | Spiritomb          |  0.01270% | 215    |  0.044% | 60     |  0.026% | 
 | 277  | Haxorus            |  0.01238% | 243    |  0.049% | 112    |  0.048% | 
 | 278  | Scovillain         |  0.01204% | 145    |  0.029% | 60     |  0.026% | 
 | 279  | Lycanroc-Dusk      |  0.01203% | 161    |  0.033% | 62     |  0.027% | 
 | 280  | Golurk             |  0.01173% | 157    |  0.032% | 62     |  0.027% | 
 | 281  | Froslass           |  0.01140% | 188    |  0.038% | 70     |  0.030% | 
 | 282  | Electivire         |  0.01131% | 251    |  0.051% | 104    |  0.045% | 
 | 283  | Arbok              |  0.01123% | 277    |  0.056% | 115    |  0.050% | 
 | 284  | Scyther            |  0.01117% | 96     |  0.019% | 43     |  0.019% | 
 | 285  | Typhlosion         |  0.01098% | 180    |  0.037% | 88     |  0.038% | 
 | 286  | Revavroom          |  0.01082% | 136    |  0.028% | 55     |  0.024% | 
 | 287  | Braviary-Hisui     |  0.01082% | 321    |  0.065% | 142    |  0.061% | 
 | 288  | Toedscruel         |  0.01065% | 258    |  0.052% | 97     |  0.042% | 
 | 289  | Dachsbun           |  0.01043% | 143    |  0.029% | 63     |  0.027% | 
 | 290  | Cinccino           |  0.01012% | 331    |  0.067% | 132    |  0.057% | 
 | 291  | Floatzel           |  0.01009% | 120    |  0.024% | 48     |  0.021% | 
 | 292  | Lurantis           |  0.00983% | 126    |  0.026% | 59     |  0.026% | 
 | 293  | Golem-Alola        |  0.00982% | 152    |  0.031% | 73     |  0.032% | 
 | 294  | Victreebel         |  0.00979% | 83     |  0.017% | 35     |  0.015% | 
