| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 277  | Misdreavus         |  0.00058% | 45     |  0.009% | 15     |  0.006% | 
 | 278  | Zebstrika          |  0.00058% | 52     |  0.011% | 15     |  0.006% | 
 | 279  | Trapinch           |  0.00056% | 6      |  0.001% | 0      |  0.000% | 
 | 280  | Pikachu            |  0.00054% | 414    |  0.084% | 140    |  0.061% | 
 | 281  | Volbeat            |  0.00049% | 120    |  0.024% | 43     |  0.019% | 
 | 282  | Dudunsparce        |  0.00049% | 327    |  0.066% | 120    |  0.052% | 
 | 283  | Grafaiai           |  0.00048% | 321    |  0.065% | 129    |  0.056% | 
 | 284  | Eiscue             |  0.00047% | 55     |  0.011% | 27     |  0.012% | 
 | 285  | Hawlucha           |  0.00046% | 131    |  0.027% | 44     |  0.019% | 
 | 286  | Luxray             |  0.00045% | 114    |  0.023% | 39     |  0.017% | 
 | 287  | Golurk             |  0.00045% | 157    |  0.032% | 62     |  0.027% | 
 | 288  | Tornadus-Therian   |  0.00045% | 240    |  0.049% | 113    |  0.049% | 
 | 289  | Infernape          |  0.00042% | 298    |  0.060% | 152    |  0.066% | 
 | 290  | Cyclizar           |  0.00042% | 233    |  0.047% | 107    |  0.046% | 
 | 291  | Lurantis           |  0.00040% | 126    |  0.026% | 59     |  0.026% | 
 | 292  | Dragalge           |  0.00038% | 261    |  0.053% | 128    |  0.055% | 
 | 293  | Froslass           |  0.00036% | 188    |  0.038% | 70     |  0.030% | 
 | 294  | Delphox            |  0.00035% | 385    |  0.078% | 177    |  0.077% | 
 | 295  | Stonjourner        |  0.00033% | 110    |  0.022% | 50     |  0.022% | 
 | 296  | Magnezone          |  0.00033% | 200    |  0.041% | 81     |  0.035% | 
 | 297  | Copperajah         |  0.00033% | 94     |  0.019% | 37     |  0.016% | 
 | 298  | Haxorus            |  0.00032% | 243    |  0.049% | 112    |  0.048% | 
 | 299  | Piloswine          |  0.00032% | 21     |  0.004% | 11     |  0.005% | 
 | 300  | Dugtrio            |  0.00032% | 97     |  0.020% | 37     |  0.016% | 
 | 301  | Swampert           |  0.00030% | 475    |  0.096% | 205    |  0.089% | 
 | 302  | Victreebel         |  0.00030% | 83     |  0.017% | 35     |  0.015% | 
