 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 182  | Ditto              |  0.15978% | 5047   |  0.160% | 2541   |  0.177% | 
 | 183  | Qwilfish-Hisui     |  0.15864% | 5011   |  0.159% | 2219   |  0.154% | 
 | 184  | Decidueye          |  0.15614% | 4932   |  0.156% | 2168   |  0.151% | 
 | 185  | Cloyster           |  0.15319% | 4839   |  0.153% | 2210   |  0.154% | 
 | 186  | Pikachu            |  0.15190% | 4798   |  0.152% | 2114   |  0.147% | 
 | 187  | Lumineon           |  0.15120% | 4776   |  0.151% | 1769   |  0.123% | 
 | 188  | Oricorio-Pom-Pom   |  0.15072% | 4761   |  0.151% | 2393   |  0.166% | 
 | 189  | Altaria            |  0.15060% | 4757   |  0.151% | 1767   |  0.123% | 
 | 190  | Lurantis           |  0.15053% | 4755   |  0.151% | 2027   |  0.141% | 
 | 191  | Bisharp            |  0.15053% | 4755   |  0.151% | 1880   |  0.131% | 
 | 192  | Clawitzer          |  0.15044% | 4752   |  0.150% | 2244   |  0.156% | 
 | 193  | Hippowdon          |  0.15034% | 4749   |  0.150% | 2207   |  0.153% | 
 | 194  | Eelektross         |  0.14661% | 4631   |  0.147% | 2159   |  0.150% | 
 | 195  | Cyclizar           |  0.14575% | 4604   |  0.146% | 2307   |  0.160% | 
 | 196  | Tornadus-Therian   |  0.13315% | 4206   |  0.133% | 1754   |  0.122% | 
 | 197  | Noivern            |  0.13220% | 4176   |  0.132% | 1600   |  0.111% | 
 | 198  | Haxorus            |  0.13081% | 4132   |  0.131% | 1900   |  0.132% | 
 | 199  | Floatzel           |  0.13021% | 4113   |  0.130% | 2061   |  0.143% | 
 | 200  | Leafeon            |  0.12983% | 4101   |  0.130% | 1407   |  0.098% | 
 | 201  | Dragalge           |  0.12796% | 4042   |  0.128% | 1813   |  0.126% | 
 | 202  | Stantler           |  0.12632% | 3990   |  0.126% | 1706   |  0.119% | 
 | 203  | Drednaw            |  0.12192% | 3851   |  0.122% | 1768   |  0.123% | 
 | 204  | Raichu-Alola       |  0.12046% | 3805   |  0.120% | 1794   |  0.125% | 
 | 205  | Palossand          |  0.11869% | 3749   |  0.119% | 1622   |  0.113% | 
 | 206  | Weavile            |  0.11558% | 3651   |  0.116% | 1512   |  0.105% | 
 | 207  | Luxray             |  0.11422% | 3608   |  0.114% | 1748   |  0.121% | 
 | 208  | Carbink            |  0.11299% | 3569   |  0.113% | 1429   |  0.099% | 
 | 209  | Ampharos           |  0.11172% | 3529   |  0.112% | 1414   |  0.098% | 
 | 210  | Bombirdier         |  0.11004% | 3476   |  0.110% | 1497   |  0.104% | 
 | 211  | Blissey            |  0.10058% | 3177   |  0.101% | 1193   |  0.083% | 
 | 212  | Beartic            |  0.10001% | 3159   |  0.100% | 1611   |  0.112% | 
 | 213  | Masquerain         |  0.09760% | 3083   |  0.098% | 1143   |  0.079% | 
 | 214  | Goodra             |  0.09475% | 2993   |  0.095% | 1368   |  0.095% | 
 | 215  | Misdreavus         |  0.09440% | 2982   |  0.094% | 1180   |  0.082% | 
 | 216  | Flareon            |  0.09019% | 2849   |  0.090% | 1080   |  0.075% | 
 | 217  | Mesprit            |  0.08940% | 2824   |  0.089% | 968    |  0.067% | 
 | 218  | Froslass           |  0.08434% | 2664   |  0.084% | 1142   |  0.079% | 
 | 219  | Revavroom          |  0.08377% | 2646   |  0.084% | 1130   |  0.078% | 
 | 220  | Crabominable       |  0.08364% | 2642   |  0.084% | 1421   |  0.099% | 
 | 221  | Copperajah         |  0.08323% | 2629   |  0.083% | 1159   |  0.081% | 
 | 222  | Heracross          |  0.08016% | 2532   |  0.080% | 1267   |  0.088% | 
 | 223  | Lokix              |  0.08000% | 2527   |  0.080% | 1295   |  0.090% | 
 | 224  | Eiscue             |  0.07987% | 2523   |  0.080% | 1140   |  0.079% | 
 | 225  | Oricorio-Sensu     |  0.07984% | 2522   |  0.080% | 1107   |  0.077% | 
 | 226  | Avalugg            |  0.07905% | 2497   |  0.079% | 1073   |  0.075% | 
 | 227  | Braviary           |  0.07889% | 2492   |  0.079% | 1099   |  0.076% | 
 | 228  | Rotom-Mow          |  0.07801% | 2464   |  0.078% | 934    |  0.065% | 
 | 229  | Forretress         |  0.07563% | 2389   |  0.076% | 845    |  0.059% | 
 | 230  | Greedent           |  0.07405% | 2339   |  0.074% | 910    |  0.063% | 
